x1, y1, x2, y2,dx,dy
1251,1963,1251,1963
1284,1975,1284,1975
1977,1761,1977,1761
1964,1760,1964,1760
1744,1884,1744,1884
1205,1963,1205,1963
1266,1973,1266,1973
1399,1961,1399,1961
1368,1968,1368,1968
1435,1966,1435,1966
1945,1942,1945,1942
1359,1956,1359,1956
1356,1974,1356,1974
1816,1887,1816,1887
1902,1907,1902,1907
1794,1874,1794,1874
1980,1936,1980,1936
1315,1971,1315,1971
1296,1978,1296,1978
1869,1858,1869,1858
1952,1858,1952,1858
1751,1812,1751,1812
1769,1816,1769,1816
1916,1903,1916,1903
1879,1909,1879,1909
1859,1909,1859,1909
1948,1903,1948,1903
1690,1969,1690,1969
1899,1925,1899,1925
1903,1836,1903,1836
1405,1973,1405,1973
1979,1760,1979,1760
1947,1789,1947,1789
1776,1991,1776,1991
1303,1966,1303,1966
1332,1954,1332,1954
1795,1787,1795,1787
1144,1966,1144,1966
1187,1968,1187,1968
1143,1979,1143,1979
1665,1972,1665,1972
1799,1886,1799,1886
1835,1912,1835,1912
1121,1964,1121,1964
1176,1966,1176,1966
1157,1979,1157,1979
1812,1875,1812,1875
1930,1949,1930,1949
1888,1953,1888,1953
1815,1957,1815,1957
1861,1962,1861,1962
1873,1973,1873,1973
